PHRASE_NAME,VOICE,TEXT,AUDIO_NAME
start,KROSH,"Земля не может быть круглой! Ты только представь — ни слонов, ни черепахи… один глупый шар, который болтается в космосе! Так не может быть! Потому что это не интересно!",start_krosh_1
start,KROSH,"Наверное, никого нельзя насильно заставить измениться, даже если он сам об этом просит. В конце концов, если ты созрел, то сможешь измениться и без посторонней помощи, сам.",start_krosh_2
start,KROSH,"Дружить с девчонкой — это как есть немытую морковку. Никогда не знаешь, что с тобой будет в следующий момент.",start_krosh_3
start,KROSH,Все мужчины рождены с дрелью в руках!,start_krosh_4
start,BARASH,"Вдохновение - это когда что-то сонное, ленивое, очень тяжёлое и неподъёмное, как бегемот, становится лёгким, как облако, и летит, летит, летит...",start_barash_1
start,BARASH,"Иногда случается, что вещи теряют свой смысл. Вот смысл окна, например, чтобы в него смотреть. А порой смотришь в него, а смотреть там нечего… Ничего интересного.",start_barash_2
start,BARASH,"Ведь все беды от чего? От того, что каждый в одном и том же видит разное! Разные смыслы вкладывают, и получаются конфликты. ",start_barash_3
start,BARASH,"Весь мир как почта. Мало того, что мы шлём не то и не тем, так это ещё и не доходит.",start_barash_4
quotes,KROSH,"Вроде дерево было справа… Ой! Я принял влево, а там опять это дерево!",quotes_krosh_1
quotes,KROSH,"Ой, Лосяш… Лосяши, у нас все перепуталось… выручай, друзья.",quotes_krosh_2
quotes,KROSH,"Давай! Ёжик, давай! Ещё кругов 30 и мы уснём как младенцы!",quotes_krosh_3
quotes,BARASH,"О вечном, но как всегда…",quotes_barash_1
quotes,BARASH,Зонтик у меня для души!,quotes_barash_2
quotes,BARASH,"Да хаос нас окружает постоянно! Везде, как почта. Мало того, что мы шлём не то и не тем, так это ещё и не доходит.",quotes_barash_3
